skill,menciones,porcentaje_ofertas,categoria
"trabajo en equipo",234,2.1,blanda
"comunicación oral",201,1.8,blanda
"adaptabilidad",200,1.8,blanda
"orientación al servicio",196,1.8,blanda
"resolución de problemas complejos",194,1.8,blanda
"pensamiento crítico",188,1.7,blanda
"resolución de problemas",188,1.7,destreza
"escucha activa",181,1.6,destreza
"pensamiento crítico",169,1.5,destreza
"liderazgo",158,1.4,blanda
"aprendizaje activo",158,1.4,destreza
"manejo del tiempo",150,1.4,destreza
"juicio y toma de decisiones",146,1.3,blanda
"inteligencia emocional",143,1.3,blanda
"trabajo en equipo",142,1.3,destreza
"SQL",141,1.3,técnica
"Microsoft Excel",136,1.2,técnica
"gestión del tiempo",134,1.2,blanda
"comprensión lectora",132,1.2,destreza
"servicio al cliente",129,1.2,conocimiento
"comunicación escrita",122,1.1,blanda
"aprendizaje activo",119,1.1,blanda
"toma de decisiones",119,1.1,destreza
"Python",115,1.0,técnica
"informática",114,1.0,conocimiento
"negociación",113,1.0,blanda
"ingeniería y tecnología",112,1.0,conocimiento
"orientación al servicio",110,1.0,destreza
"Machine Learning",100,0.9,técnica
"Git",99,0.9,técnica
"ventas y marketing",98,0.9,conocimiento
"administración y gestión",97,0.9,conocimiento
"JavaScript",95,0.9,técnica
"Microsoft Office",94,0.9,técnica
"gestión de personal",89,0.8,blanda
"economía y contabilidad",89,0.8,conocimiento
"coordinación",87,0.8,blanda
"redacción",87,0.8,blanda
"Amazon Web Services",84,0.8,técnica
"Java",84,0.8,técnica
"liderazgo",80,0.7,destreza
"recursos humanos",79,0.7,conocimiento
"Power BI",76,0.7,técnica
"percepción social",75,0.7,destreza
"instrucción y capacitación",73,0.7,blanda
"matemáticas",72,0.7,blanda
"análisis de sistemas",71,0.6,blanda
"hablar en público",70,0.6,destreza
"persuasión",68,0.6,blanda
"Tableau",66,0.6,técnica
"matemáticas aplicadas",66,0.6,conocimiento
"SAP",64,0.6,técnica
"educación y formación",62,0.6,conocimiento
"Salesforce",61,0.6,técnica
"React",55,0.5,técnica
"monitoreo y seguimiento",55,0.5,blanda
"medicina y odontología",55,0.5,conocimiento
"R",54,0.5,técnica
"derecho y gobierno",54,0.5,conocimiento
"negociación efectiva",52,0.5,destreza
"Microsoft Azure",51,0.5,técnica
"control de calidad",51,0.5,blanda
"escritura creativa",49,0.4,destreza
"TensorFlow",45,0.4,técnica
"Apache Spark",42,0.4,técnica
"Docker",40,0.4,técnica
"seguridad pública",38,0.3,conocimiento
"C++",37,0.3,técnica
"Google Cloud",36,0.3,técnica
"Oracle",31,0.3,técnica
"Kubernetes",30,0.3,técnica
"producción y procesamiento",29,0.3,conocimiento
"física",25,0.2,conocimiento
"PyTorch",23,0.2,técnica
"MATLAB",20,0.2,técnica
"Hadoop",17,0.2,técnica
