skill,menciones,porcentaje_ofertas,categoria
"Python",281,2.1,técnica
"pensamiento crítico",279,2.1,blanda
"resolución de problemas",245,1.8,destreza
"adaptabilidad",234,1.7,blanda
"pensamiento crítico",229,1.7,destreza
"comunicación oral",221,1.6,blanda
"escucha activa",221,1.6,destreza
"orientación al servicio",220,1.6,blanda
"trabajo en equipo",214,1.6,blanda
"resolución de problemas complejos",213,1.6,blanda
"liderazgo",202,1.5,blanda
"aprendizaje activo",190,1.4,destreza
"aprendizaje activo",176,1.3,blanda
"comprensión lectora",169,1.3,destreza
"juicio y toma de decisiones",165,1.2,blanda
"trabajo en equipo",165,1.2,destreza
"inteligencia emocional",159,1.2,blanda
"SQL",154,1.1,técnica
"servicio al cliente",150,1.1,conocimiento
"ingeniería y tecnología",149,1.1,conocimiento
"manejo del tiempo",149,1.1,destreza
"Machine Learning",147,1.1,técnica
"informática",141,1.0,conocimiento
"Microsoft Excel",136,1.0,técnica
"negociación",135,1.0,blanda
"gestión del tiempo",132,1.0,blanda
"orientación al servicio",126,0.9,destreza
"comunicación escrita",121,0.9,blanda
"Amazon Web Services",118,0.9,técnica
"administración y gestión",118,0.9,conocimiento
"ventas y marketing",114,0.8,conocimiento
"toma de decisiones",113,0.8,destreza
"JavaScript",111,0.8,técnica
"Java",111,0.8,técnica
"Microsoft Office",109,0.8,técnica
"liderazgo",105,0.8,destreza
"Power BI",100,0.7,técnica
"economía y contabilidad",100,0.7,conocimiento
"Git",99,0.7,técnica
"hablar en público",97,0.7,destreza
"Microsoft Azure",96,0.7,técnica
"recursos humanos",90,0.7,conocimiento
"redacción",89,0.7,blanda
"educación y formación",87,0.6,conocimiento
"análisis de sistemas",84,0.6,blanda
"SAP",82,0.6,técnica
"coordinación",82,0.6,blanda
"persuasión",78,0.6,blanda
"gestión de personal",77,0.6,blanda
"Tableau",76,0.6,técnica
"Salesforce",73,0.5,técnica
"matemáticas aplicadas",70,0.5,conocimiento
"Docker",68,0.5,técnica
"TensorFlow",68,0.5,técnica
"React",66,0.5,técnica
"matemáticas",65,0.5,blanda
"percepción social",65,0.5,destreza
"instrucción y capacitación",60,0.4,blanda
"negociación efectiva",58,0.4,destreza
"Google Cloud",57,0.4,técnica
"seguridad pública",53,0.4,conocimiento
"monitoreo y seguimiento",52,0.4,blanda
"derecho y gobierno",52,0.4,conocimiento
"Apache Spark",50,0.4,técnica
"medicina y odontología",48,0.4,conocimiento
"control de calidad",43,0.3,blanda
"Kubernetes",42,0.3,técnica
"escritura creativa",40,0.3,destreza
"R",37,0.3,técnica
"PyTorch",33,0.2,técnica
"C++",31,0.2,técnica
"Oracle",28,0.2,técnica
"física",26,0.2,conocimiento
"producción y procesamiento",26,0.2,conocimiento
"Hadoop",17,0.1,técnica
"MATLAB",16,0.1,técnica
