skill,menciones,porcentaje_ofertas,categoria
Chef,77,2.6,técnica
C,45,1.5,técnica
R,36,1.2,técnica
Instructing,34,1.1,destreza
Science,29,1.0,destreza
Go,26,0.9,técnica
Installation,19,0.6,destreza
Programming,11,0.4,destreza
Monitoring,8,0.3,destreza
Repairing,5,0.2,destreza
Negotiation,4,0.1,destreza
Speaking,4,0.1,destreza
Troubleshooting,4,0.1,destreza
Coordination,3,0.1,destreza
Microsoft Teams,2,0.1,técnica
Writing,2,0.1,destreza
Mathematics,2,0.1,destreza
Zoom,1,0.0,técnica
Persuasion,1,0.0,blanda
React,1,0.0,técnica
Microsoft Excel,1,0.0,técnica
