skill,menciones,porcentaje_ofertas,categoria
"Critical Thinking",219,3.6,blanda
"Complex Problem Solving",187,3.1,blanda
"Active Listening",179,3.0,blanda
"Time Management",173,2.9,blanda
"Python",170,2.8,técnica
"SQL",158,2.6,técnica
"Judgment and Decision Making",129,2.1,blanda
"Speaking",123,2.1,blanda
"Negotiation",121,2.0,blanda
"Writing",113,1.9,blanda
"Machine Learning",99,1.7,técnica
"Active Learning",99,1.7,blanda
"JavaScript",93,1.6,técnica
"Amazon Web Services",91,1.5,técnica
"Git",85,1.4,técnica
"Java",78,1.3,técnica
"Coordination",77,1.3,blanda
"Programming",71,1.2,blanda
"Systems Analysis",71,1.2,blanda
"Power BI",69,1.1,técnica
"Microsoft Azure",55,0.9,técnica
"Docker",47,0.8,técnica
"Tableau",46,0.8,técnica
"Monitoring",46,0.8,blanda
"React",44,0.7,técnica
"TensorFlow",43,0.7,técnica
"R",42,0.7,técnica
"PyTorch",30,0.5,técnica
"Kubernetes",29,0.5,técnica
"C++",28,0.5,técnica
