skill,menciones,porcentaje_ofertas,categoria
"Python",311,3.3,técnica
"Critical Thinking",301,3.2,blanda
"Machine Learning",277,2.9,técnica
"Complex Problem Solving",269,2.8,blanda
"Time Management",233,2.5,blanda
"SQL",229,2.4,técnica
"Active Listening",221,2.3,blanda
"Active Learning",210,2.2,blanda
"Amazon Web Services",184,1.9,técnica
"Power BI",153,1.6,técnica
"Programming",153,1.6,blanda
"Microsoft Azure",145,1.5,técnica
"Speaking",141,1.5,blanda
"Git",137,1.4,técnica
"Judgment and Decision Making",137,1.4,blanda
"JavaScript",130,1.4,técnica
"Writing",107,1.1,blanda
"Kubernetes",103,1.1,técnica
"Docker",100,1.1,técnica
"Negotiation",100,1.1,blanda
"Tableau",90,0.9,técnica
"TensorFlow",89,0.9,técnica
"React",83,0.9,técnica
"Java",78,0.8,técnica
"Systems Analysis",77,0.8,blanda
"PyTorch",73,0.8,técnica
"Coordination",68,0.7,blanda
"R",55,0.6,técnica
"Monitoring",53,0.6,blanda
"C++",29,0.3,técnica
