id_oferta,titulo,descripcion,empresa,ubicacion,modalidad,categoria,salario_min,salario_max,url_oferta,fecha_publicacion,fuente,pais,idioma
5612357614,Mobile Mechanic,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Leavesden, Watford",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5612357614?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=198CA2109AB52193C8924A2C02073203F9150C6F,2026-02-03T20:14:15Z,adzuna,GB,en
5543528868,Mobile Mechanic,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Elstow, Bedford",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5543528868?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=CC580606F3C3B338C0897699ED7569BD2A96363A,2025-12-15T22:12:10Z,adzuna,GB,en
5582272808,Mobile Vehicle Technician - Stevenage,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"West Pottergate, Norwich",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5582272808?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=0C57BD6A40608EE467FC1B16A0CE3F0CA92C8B03,2026-01-13T14:06:05Z,adzuna,GB,en
5715043647,Teacher,"We put wellbeing first by giving our teams more time to recharge Job Title: Teacher (Informal/Semi-formal/Formal Pathways) Location: Stretton Shires School, Stretton, Rutland, LE15 7GT Hours: 37.5 per week | Monday–Friday | 8:30am – 4:30pm Salary: up to £42,500 per annum (depending on experience, not pro rata) Contract: Permanent | Term Time Only Start: September 2026 UK applicants only – no sponsorship available About the Role Stretton Shires School is entering an exciting period of growth, an…",Outcomes First Group,"Little Oakley, Corby",permanent,Teaching Jobs,0.0,42500.0,https://www.adzuna.co.uk/jobs/land/ad/5715043647?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=49149C1EDC5A5243163B9E312797DE11C77707BF,2026-05-01T02:15:04Z,adzuna,GB,en
5543528872,Mobile Mechanic,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Waterford, Hertford",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5543528872?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=50E83B8CB36069EC8319832F49D12BDAA5D97623,2025-12-15T22:12:10Z,adzuna,GB,en
5537780789,Mobile Vehicle Technician - Leicester,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Belgrave, Leicester",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5537780789?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=B0FC5D5A5B1B6AF6A0FD913A892EFB62F6A52291,2025-12-11T15:07:16Z,adzuna,GB,en
5716061858,Mobile Vehicle Technician - Harlow,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £45,370 (inclusive of London Weighting Allowance, if applicable), with on-target earnings of up to £57,000 A guaranteed overtime option to increase your base salary to £44,385, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for ro…",RAC,"Toot Hill, Ongar",,Engineering Jobs,45370.0,45370.0,https://www.adzuna.co.uk/jobs/land/ad/5716061858?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=31054FBDB190B67AA677E217032DA0299E928679,2026-05-01T18:29:13Z,adzuna,GB,en
5716061838,Mobile Vehicle Technician - Harlow,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £45,370 (inclusive of London Weighting Allowance, if applicable), with on-target earnings of up to £57,000 A guaranteed overtime option to increase your base salary to £44,385, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for ro…",RAC,"North Mymms, Hatfield",,Engineering Jobs,45370.0,45370.0,https://www.adzuna.co.uk/jobs/land/ad/5716061838?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=EFE0561D091F7FD0236AD4F24C3C5787B27F64D4,2026-05-01T18:29:13Z,adzuna,GB,en
5715043599,Teacher,"We put wellbeing first by giving our teams more time to recharge Job Title: Teacher (Informal/Semi-formal/Formal Pathways) Location: Stretton Shires School, Stretton, Rutland, LE15 7GT Hours: 37.5 per week | Monday–Friday | 8:30am – 4:30pm Salary: up to £42,500 per annum (depending on experience, not pro rata) Contract: Permanent | Term Time Only Start: September 2026 UK applicants only – no sponsorship available About the Role Stretton Shires School is entering an exciting period of growth, an…",Outcomes First Group,"Thorney, Peterborough",permanent,Teaching Jobs,0.0,42500.0,https://www.adzuna.co.uk/jobs/land/ad/5715043599?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=90C6FE2074B590D05EB47BE5DA281BB408BEC9EF,2026-05-01T02:15:04Z,adzuna,GB,en
5628199640,Mobile Vehicle Technician - Stevenage,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Woodside, Luton",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5628199640?se=oAm2e4pH8RGSdISXQQQjPQ&utm_medium=api&utm_source=aa178fc6&v=9CC2FDF66849DEC8BA411FE0DB1629567230D943,2026-02-13T18:58:02Z,adzuna,GB,en
