id_oferta,titulo,descripcion,empresa,ubicacion,modalidad,categoria,salario_min,salario_max,url_oferta,fecha_publicacion,fuente,pais,idioma,skills_encontradas,num_skills,skills_por_categoria
5543528879,Mobile Mechanic,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Pampisford, Cambridge",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5543528879?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=A12B7C7117CB1EFD7D153D825AE3B44A42BE3495,2025-12-15T22:12:10Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5716061838,Mobile Vehicle Technician - Harlow,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £45,370 (inclusive of London Weighting Allowance, if applicable), with on-target earnings of up to £57,000 A guaranteed overtime option to increase your base salary to £44,385, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for ro…",RAC,"North Mymms, Hatfield",,Engineering Jobs,45370.0,45370.0,https://www.adzuna.co.uk/jobs/land/ad/5716061838?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=EFE0561D091F7FD0236AD4F24C3C5787B27F64D4,2026-05-01T18:29:13Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5659620911,Mobile Vehicle Technician - Watford,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £45,370 (inclusive of London Weighting Allowance, if applicable), with on-target earnings of up to £57,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside resc…",RAC,"Leavesden, Watford",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5659620911?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=17765B95F77DEB8F2FBEBDC68A14196298E9FAC6,2026-03-09T20:55:24Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5543528923,Mobile Vehicle Technician,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Letchworth Garden City, Hertfordshire",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5543528923?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=F40A58AF4032997FF3544CCD2CD219FE3CE1DAFB,2025-12-15T22:12:12Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5543528877,Mobile Vehicle Technician - Stevenage,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Oaklands, St. Albans",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5543528877?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=C2EB8923390C534BEE866964F678DC6216EBCB9E,2025-12-15T22:12:10Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5543528871,Mobile Vehicle Technician,"Join the RAC as a Mobile Vehicle Technician in our SMR Division - a new era of mobile repair. A competitive base salary of £40,170, with on-target earnings of up to £52,000 A guaranteed overtime option to increase your base salary, plus additional overtime and bonus opportunities 40 hours per week, with core hours from 8:30 am to 5:00 pm, and 1 in 4 Saturdays. A Different Kind of RAC Role: Welcome to SMR The RAC is known for roadside rescue - but this isn’t that. Our Service, Maintenance & Repa…",RAC,"Oaklands, St. Albans",,Engineering Jobs,40170.0,44385.0,https://www.adzuna.co.uk/jobs/land/ad/5543528871?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=E1CC9A390B6BA51A901C6CD598F7B9B2E67FDCE3,2025-12-15T22:12:10Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5715043647,Teacher,"We put wellbeing first by giving our teams more time to recharge Job Title: Teacher (Informal/Semi-formal/Formal Pathways) Location: Stretton Shires School, Stretton, Rutland, LE15 7GT Hours: 37.5 per week | Monday–Friday | 8:30am – 4:30pm Salary: up to £42,500 per annum (depending on experience, not pro rata) Contract: Permanent | Term Time Only Start: September 2026 UK applicants only – no sponsorship available About the Role Stretton Shires School is entering an exciting period of growth, an…",Outcomes First Group,"Little Oakley, Corby",permanent,Teaching Jobs,0.0,42500.0,https://www.adzuna.co.uk/jobs/land/ad/5715043647?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=49149C1EDC5A5243163B9E312797DE11C77707BF,2026-05-01T02:15:04Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5715928574,SEN Teacher,"We believe in giving you more time to do the things you love outside of work Position: SEN Teacher Location: Strawberry Lane School, Durham, DH6 5BE Salary: Up to £42,500 per annum ( depending on experience , not pro rata) Hours: 37.5 hours per week | Monday to Friday Contract: Permanent | Term Time Only Start: September 2026 UK applicants only. This role does not offer sponsorship. About the Role Are you a passionate and creative teacher looking to make a real difference in the lives of young …",Outcomes First Group,"Bowburn, Durham",permanent,Teaching Jobs,0.0,42500.0,https://www.adzuna.co.uk/jobs/land/ad/5715928574?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=2F1DBE644D3FFB66F382F6125FAF65A1BB327260,2026-05-01T14:24:08Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5715576159,Nursery Room Leader,"Role Overview:  We’re Opening a Brand-New Busy Bees Nursery in Binfield! Be Part of Something Amazing!  We’re opening a brand-new, three-storey Busy Bees nursery in Binfield and this is YOUR chance to be part of something truly special! 110 little learners will soon be exploring, laughing, and growing—and we need a passionate Room Leader, joining us in giving our children the best start in life!  WHY YOU'LL LOVE WORKING WITH US AS A ROOM LEADER ✨ Exclusive Busy Bees Benefits ✨  Competitive pay …",Busy Bees,"Binfield, Bracknell",,Teaching Jobs,31928.0,31928.0,https://www.adzuna.co.uk/jobs/land/ad/5715576159?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=7CC1754409E73A9DE271ADB9A0BCDA7B137ABCF1,2026-05-01T08:25:41Z,adzuna,GB,en,[],0,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": []}"
5715043648,SEN Teacher with Science Specialism,"We believe in giving you more time to do the things you love outside of work Job Title: SEN Teacher with Science Speciliasm Location: Longdon Hall School, Lichfield, Staffordshire WS15 4PT Hours: 37.5 per week | Monday to Friday Salary: Up to £45,000.00 per annum (depending on experience, not pro rata) Contract: Permanent | Term Time Only Start: May 2026 UK applicants only – no sponsorship available About the Role As a SEN Teacher with Science Speciliasm, you will play a pivotal role in shaping…",Outcomes First Group,"Longdon, Rugeley",permanent,Teaching Jobs,0.0,45000.0,https://www.adzuna.co.uk/jobs/land/ad/5715043648?se=-jeZCYxH8RGrz_gY8KlfVw&utm_medium=api&utm_source=aa178fc6&v=BA79186813277793FFDB8F1682201B324B957323,2026-05-01T02:15:04Z,adzuna,GB,en,"[""Science""]",1,"{""blandas"": [], ""tecnicas"": [], ""conocimientos"": [], ""destrezas"": [""Science""]}"
